title,0
Source Code (2011) - IMDb,"[['movie'], ['price'], ['movie', 'point'], ['lot of movies', 'much time', 'story'], ['film', 'off', 'film'], ['beginning', 'middle', 'end'], ['storyline', 'time'], ['film', 'source code'], ['only downside', 'film', 'minutes'], ['good thing'], ['Shows', 'film', 'GO CHECK IT OUT']]"
District 9 (2009) - IMDb,"[['ratings', 'film in years', 'rating.Neill Blomkamp', 'piece of science fiction', 'District'], ['Ridley Scott', 'Blade Runner', 'John Carpenter', 'Thing', 'James Cameron', 'Aliens', 'science fiction film', 'vision', 'caliber'], ['District', 'Peter Jackson', 'faith in Blomkamp', 'wing', 'settings of Hollywood sci-fi', 'slums of South Africa', 'piece of work', 'risks', 'way', 'story'], ['expectations of audiences', 'mediocrity', 'sci-fi', 'call of duty', 'spectacle', 'something', 'popcorn.There', 'celebrity in sight', 'unknown face', 'film', 'solid performance'], ['aliens', 'notch CGI', 'something', 'Gollum', 'Lord', 'Rings', '.District'], ['darkly funny', 'same time', 'budget'], ['talent on show'], ['films', 'world of cinema', 'interesting place']]"
Witness for the Prosecution (1957) - IMDb,"[['end', 'day', 'films', 'top marks', 'films', 'constant companions'], ['drop', 'hat', 'people', 'triumph'], ['Witness', 'Prosecution', 'wonders'], ['disbelief', 'couple of hours', 'banquet', 'romp'], ['Charles Laughton', 'other film', 'films', 'moments', 'Captain Blight', 'Henry VIII', 'Quasimodo', 'Senator from South Carolina'], ['severity', 'lawyer by vocation', 'senses', 'masterful judicial way', 'incredible fun'], ['Tyrone Power', 'toy', 'hands', 'Marlene Dietrich', 'ground', 'character', 'presence', 'screen'], ['Wilder visits', 'Hitchcock territory', 'wit and fun'], ['Elsa Lanchester', 'nurse', 'cherry on top', 'delightful film']]"
Dunkirk (2017) - IMDb,"[['Dunkirk', 'opinion', 'masterpiece from mastermind Christopher Nolan'], ['everything', 'film', 'film', 'topic', 'people', 'movie for.The', 'film', 'perspectives'], ['non linear story', 'pull', 'intensity', 'events', 'screen', 'last scene'], ['Hans', 'fitting scores', 'war film'], ['note playing', 'heartbeat sounds', 'ticking clock', 'other times', 'massive orchestra', 'screen'], ['movie', 'projects', 'feeling', 'soldier', 'beach', 'audience'], ['Confusion', 'turmoil and fear'], ['cinematography', 'run time'], ['lead', 'film', 'anyone', 'brilliant performance', 'criticisms of Dunkirk', 'characters', 'depth', 'anything'], ['Nolan', 'audience care', 'men', 'beach'], ['form', 'main characters', 'story', 'events', 'direct perspective', 'soldiers'], ['war films', 'private Ryan', 'example', 'plot', 'certain soldiers', 'Cpt'], ['Miller and Ryan', 'war', 'things', 'war', 'THEM', 'THE WAR'], ['opinion Dunkirk', 'STORY OF DUNKIRK'], ['Harry Style', 'character', 'Tom Hardy', 'character', 'Dunkirk'], ['main characters', 'felt'], ['film-making techniques', 'story', 'dialogue', 'people', 'problem', 'lack of character depth', 'type', 'terrible event', 'place for someone', 'character', 'event', 'MEN WANTED ONLY SURVIVAL', 'Nolan'], ['review of Dunkirk', 'IMDb', ""'lack of emotion"", 'film', 'incorrect statement'], [""lack of 'brotherhood"", 'men', 'feeling', 'something epic'], ['longing', 'Private Ryan', 'format of war films'], ['reviewer', 'emotion', 'beach besides fear', 'confusion'], ['Nolan and Zimmer', 'DP', 'feelings.9.5/10']]"
Serpico (1973) - IMDb,"[['Frank Serpico', 'police force', 'ideals and eager', 'crime', 'neighbourhood'], ['corrupt side', 'job', 'envelope of cash'], ['part', 'take'], ['colleagues', 'actions', 'whole force'], ['Scerpio', 'head wound', 'book', 'several times', 'tomb', 'book', 'hour movie'], ['answer', 'question'], ['film manages', 'whole plot', 'gist', 'book', 'memorable scenes'], ['problem', 'story', 'book'], ['fact', 'way', 'sequence', 'important means', 'film moves', 'downside', 'film shirks', 'characterisation', 'film', 'favour.Part', 'reason', 'script', 'little character', 'Pacino'], ['shouting', 'genuine passion and subtlety', 'performance'], ['support', 'Roberts', 'Randolph and others', 'Pacino', 'film', 'performance', 'tragic true story', 'film', 'text'], ['happy conclusion', 'tale', 'corruption that Serpico', 'remains in place'], ['film', 'story deserves']]"
The Machinist (2004) - IMDb,"[['MACHINIST', 'Brad Anderson', 'Spain', '.Christian Bale', 'Trevor Reznik', 'machinist', 'anonymous factory', 'America'], ['past incident'], ['mysterious notes', 'refrigerator'], ['colleagues'], ['completely.A Spanish production', 'Brad Anderson', 'helm as director', 'exclusively American cast', 'American film'], ['reasons', 'something', 'Christian Bale', 'insane', 'loss', 'publicity'], ['film', 'Bale', 'loss of weight'], ['method boy', 'film', 'actor', 'dedication', 'part', 'film'], ['Christian Bale', 'solo turn'], ['matter', 'many pounds', 'remarkable performance'], ['Director Brad Anderson', 'atmosphere', 'other user', 'IMDb', 'HAVE', 'hell'], ['key factor', 'film'], ['whole setting', 'anonymous industrial town', 'US', 'Pennsylvania', 'Michigan', 'New York', 'Barcelona', 'story'], ['atmosphere of estrangement'], ['Christian Bale', 'intense performance', 'cause and background'], ['earth'], ['greasy factory', 'skin-over-bone'], ['year'], ['Brad Anderson', 'atmosphere', 'netherworld', 'urban nightmare'], ['certain way', 'strange urban landscape', 'Eraserhead', 'David Lynch.Camera Obscura']]"
Road to Perdition (2002) - IMDb,"[['movie', 'time', 'characters', 'attention', 'superb performances', 'stunning lighting and cinematography', 'wonderful soundtrack', 'intensity', 'lightness of touch', 'anyone', 'action flick'], ['Elizabethan days', 'movie', 'bit', 'Shakespearean tragedy'], ['Drama-Suspense movie.The plot', 'story'], ['movie', 'way relationships', 'issues'], ['story', 'story', 'comic book', 'novel'], ['times', 'part', 'story', 'dream-like quality', 'style', 'telling.I', 'movies', 'books', 'case'], ['book'], ['DVD', 'scenes', 'insightful commentary'], ['little cousin', 'boy', 'movie', 'first time', 'issues at home', 'way', 'discussion', 'father-son issues'], ['discussion']]"
Touch of Evil (1958) - IMDb,"[['films like Citizen Kane', 'Lady from Shanghai', 'big fan', 'Touch of Evil evidences', 'Orson Welles', 'capacity', 'cinematic genius'], ['story', 'cinematography', 'setting', 'overall tone', 'film', 'performances', 'many interesting subtexts'], ['combines', 'complex artwork', 'viewer', 'novel by Whit Masterson', 'Badge of Evil', 'Touch of Evil', 'battle', 'policemen', 'Hank Quinlan', 'Orson Welles', 'Ramon Miguel Vargas', 'Charlton Heston'], ['kind of border battle', 'United States', 'Quinlan', 'Mexico', 'Vargas', 'film', 'border towns', 'Touch of Evil opens', 'bomb', 'trunk', 'car in Mexico'], ['construction company owner', 'Mr. Linnekar', 'girlfriend'], ['Vargas', 'new wife', 'Susan', 'Janet Leigh', 'manage', 'car', 'border', 'United States'], ['bomb'], ['gruff Quinlan', 'picture'], ['investigation', 'bombing', 'Mexico for suspects'], ['Vargas', 'wife', 'Joe Grandi', 'Akim Tamiroff', 'mob boss', 'underlings'], ['Quinlan and Vargas', 'countries'], ['bombing investigation', 'loggerheads', 'Quinlan', 'touch', '.As', 'films', 'Orson Welles', 'battle', 'studio', 'artistic vision'], ['battle'], ['58-page memo', 'problems with Universal', 'non-director', 'reshoots', 'Harry Keller', 're-edits', 'Welles', 'final cut', 'improvement', 'film', 'form', 'Welles'], ['fiasco', 'versions of Touch', 'Evil', 'years'], ['58-page memo', 'copy', 'Charlton Heston', 'possession'], ['film', 'Welles', 'memo'], ['make sure', '111-minute version', 'Universal on DVD', 'scene of Touch', 'Evil'], ['timer', 'bomb', 'bomb', 'Linnekar', 'trunk', 'car', 'car', 'relative ebb', 'flow of Vargases', 'car', 'shot', 'lot of ground', 'lot', 'unusual angles'], ['Welles', 'scene', 'kinds', 'complex background', 'foreground elements', 'car', 'protagonist pedestrians'], ['suspense', 'scene', 'bomb'], ['scene'], ['film', 'opening', 'whole of Touch', 'Evil features', 'artistry', 'suspense.Welles', 'actor', 'way of speaking', 'affectations'], ['detriment', 'film', 'Lady from Shanghai'], ['oddity', 'fact', 'Woody Allen', 'whole cast', 'dialogue'], ['result', 'Touch of Evil', 'contrapuntal scenes', 'people', 'top', 'odd phrasing'], ['kinds of personality conflicts', 'script'], ['people', 'talk on top', 'attention', 'other.But', 'only odd thing', 'film'], ['Welles', 'locations', 'shot', 'complex film-noir manner'], ['desert shots', 'Touch of Evil feels', 'locations'], ['various modes and settings', 'dramatic material', 'moody'], ['change', 'Universal', 'excision', 'lot', 'relief material', 'Grandi family'], ['Universal', 'agreed.The music', 'film'], [], ['Latin and rock', 'roll emanates', 'radios', 'example', 'climax', 'repeating', 'theme', 'pianola.But of course', 'story'], ['Welles', 'various points', 'audience', 'inscrutable plot', 'plot', 'straightforward manner', 'gist'], ['same time', 'symbolism and subtexts', 'commentary on justice systems', 'irony', 'popular conceptions', 'U.S. versus Mexico', 'fact that Quinlan', 'time south', 'border and Vargas', 'lot of time north'], ['Quinlan', 'film unfolds']]"
Predestination (2014) - IMDb,"[['movie', 'time tonight', 'first time'], ['cliche', 'film', 'something'], ['story', 'acting by Ethan Hawke', 'Sarah Snook', 'Noah Taylor', 'top notch', 'Oscar nomination', 'negative reviewers'], ['Complain', 'plot'], ['plot'], ['twist', 'twist', 'Barkeep', 'Unmarried mother', 'same person', 'minutes', 'film', 'face of Jane', 'explosion', 'healed face', 'Bartender'], ['twist', 'storytellers', 'Jane', 'face', 'opening scene'], ['people'], ['plenty of dialogue', 'movie', 'reaffirm', 'plot point'], ['fact that he/she', 'fizzle bomber'], ['payoff.The', 'twist', 'Jane', 'surgeon', 'Cesarean', 'hermaphrodite', 'REAL', 'medical condition', 'plot'], ['climatic moment', 'film', 'OMG', 'moment'], ['wrenching scene', 'Sarah Snook', 'amazing job', 'subsequent scene', 'voice', 'herself', 'name Jane'], ['performance'], ['first viewing', 'film', 'one', 'ONE'], ['twist', 'ingredient', 'time', 'travel movie', 'others', 'work'], ['Robertson', 'Bartender', 'nature', 'anomaly', 'time travel'], ['ancestry', 'circular ancestry'], ['own father/mother/child/grandparent'], ['whole life', 'action'], ['sense', 'existence', 'time', 'paradox'], ['Marty McFly', 'timeline'], ['Robertson', 'Bureau.While', 'important twist', 'story', 'others'], ['Jane', 'lover'], ['Bartender', 'time', 'baby', 'temporal loop'], ['field kit', 'unfortunate error/', 'malfunction'], ['close attention', 'accident'], ['fact Robertson', 'Bartender', 'FINAL', 'mission', 'Robertson', 'note', 'timer'], ['step', 'Robertson', 'John', 'Fizzle bomber', 'acts', 'evils', 'consequences', 'tragedies', 'lives', 'travel movie', 'edge', 'seat'], ['Screenplay', 'tour de force'], ['Go']]"
Arsenic and Old Lace (1944) - IMDb,"[['Frank Capra', 'autobiography', 'reason', 'Arsenic', 'Old Lace', 'service', 'preparation', 'war'], ['surefire moneymaking', 'cheap.Arsenic', 'Old Lace', 'Broadway', 'time', 'authors Howard Lindsay', 'Russell Crouse', 'film rights', 'Warner Brothers'], ['Capra', 'deal with Jack Warner', 'percentage', 'film', 'production values'], ['Years of experience', 'Columbia'], ['property', '%', 'set', 'Brewster living room'], ['shooting', 'weeks', 'big percentage', 'budget', 'name star', 'box office', 'course', 'Cary Grant'], ['course', 'shooting', 'briefly', 'attack on Pearl Harbor'], ['film', 'public', 'show on Broadway'], ['Hollywood films', 'domestic market'], ['course', 'Capra', 'film', 'great triumph'], ['Jean Adair', 'Josephine Hull', 'Brewster sisters', 'John Alexander', 'Theodore Roosevelt', 'Brewster', 'Broadway roles'], ['Capra', 'that.I', 'Cary Grant', 'film career', 'Arsenic', 'Old Lace'], ['bundle', 'motion as Mortimer Brewster theater critic', 'member', 'family', 'insanity'], ['daffy', 'spinster aunts', 'old men', 'loneliness', 'brother', 'Teddy Roosevelt', 'brother', 'homicidal maniac'], ['family tree'], ['Grant', 'performance', 'fevered workings', 'mind', 'facial expressions', 'whole family', 'aunt', 'deeds', 'cast', 'Raymond Massey', 'homicidal brother', 'Peter Lorre', 'sidekick', 'Jack Carson', 'dense police officer'], ['others', 'parts', 'tailor', 'years', 'Arsenic', 'Old Lace', 'bone in you.And', 'last Roosevelt', 'White House']]"
